transaction_id,transaction_status,merchant_id,merchant_name,order_total_amount,order_tax_amount,shipping_address,shipping_city,shipping_state,shipping_zip,payment_datetime,payment_method,payment_bank_account_number,payment_digital_wallet_account_number,payment_attempt,payment_status,customer_name,customer_email,customer_phone,customer_id
75c28450-901e-48f1-bc19-240793a7ca3f,Success,1ecf2918-e079-4563-b9eb-04a646d7c9bd,ThompsonYoung,478.77,47.88,Flat 48 46 Harris Arcade,East Melinda,NSW,6669,2023-10-21 10:15:09,digital_wallet,,wallet_thompsonyoung_ec664ae,3,Success,Matthew Cooper,diane83@example.com,03-6150-3528,c40040d9-6753-4f40-a5be-d56f7feaa1bc
e05cac49-5253-459f-a537-6f84763eae7a,Failed,1ecf2918-e079-4563-b9eb-04a646d7c9bd,ThompsonYoung,125.35,12.54,Suite 985 3 Jacobs Track,St. Kevin,NSW,2658,2023-10-21 14:04:14,bank,723338,,5,Failed,Anthony Pena,sarah05@example.org,+61-7-1074-0536,e8a38cd6-da5e-4e37-9390-f559fcd007cb
7dc0e6e1-76b4-4f92-b360-ec602969f885,Success,85a50e12-9275-476c-88c1-435fe22b0339,Martin and Sons,309.6,30.96,727 Ruiz Underpass,Lake Patricia,TAS,2905,2023-10-21 23:24:02,bank,918047,,2,Success,Mrs. Brenda Williams,bryantstephen@example.org,0855876958,026a1b2b-c5bd-4cc3-8b2f-3a1214103266
81a435ea-e789-4e10-b817-d78de1b76b19,Pending,1833e2a6-5916-479a-92b0-31eadf877fc3,StephensWalker,275.64,27.56,3/283 Adams Foreshore,West David,NT,2357,2023-10-20 17:04:40,digital_wallet,,wallet_stephenswalker_ef0b037,4,Pending,Vernon Bass,johnwilson@example.net,(03)-3932-0306,ebd89efc-e6f0-4e27-a7fe-2f13fd714641
441e0510-ff5b-472a-978f-ca47d190b9d1,Success,8df0367a-9294-4ba0-8ea4-5927a8e8ebe1,Mccullough Marshall and Hebert,162.89,16.29,Level 1 09 Raymond Ride,Port Brian,QLD,2909,2023-10-21 00:03:43,bank,540912,,5,Success,Jason Carter,colin54@example.com,+61.8.2066.9947,62b2da86-b9fe-4186-b400-bdf8c9e2bf5a
54204fce-9beb-4b23-96cb-27b72cd42211,Success,8c54d93f-d6c8-4292-941a-5612b877cdfc,Hernandez Ltd,172.55,17.26,719/4 Wagner Wynd,Proctortown,WA,2349,2023-10-20 13:07:32,bank,779212,,1,Success,Cynthia Rodriguez,dross@example.com,+61 3 4720 1034,62c6e6b1-0597-402e-ace5-e5d78f1927d1
b2ed5e77-6876-49dd-8aa6-d8c602ecfc86,Success,bbe9a25a-2613-4d65-beba-a60d2e7cbfb4,Bowers Sellers and Davis,313.59,31.36,946 Boyd Front,West Andreafort,VIC,2126,2023-10-20 16:02:08,digital_wallet,,wallet_bowers_sellers_and_davis_281ead3,2,Success,Cody Howard,rebecca78@example.com,(03)-5830-0197,f4e3790c-2cd2-4a46-b884-0ba410662958
8b3cb34e-ea3a-4ab5-8cc3-ba0b01009e6a,Success,5f43b821-1b8a-4c2a-a58f-60d6a867d2ae,Ellis Group,213.12,21.31,0 Daniel Driveway,Alexandraborough,SA,2690,2023-10-21 18:59:13,digital_wallet,,wallet_ellis_group_982dfd2,2,Success,Kathleen Crawford,omartin@example.net,0240701621,d9a05c46-aa30-4ec3-8656-70c63290644f
7256c82d-27fc-4b7e-8d6b-6ed584f7ae82,Fraud,c8ea7a02-b6dd-4e4b-a1a7-9eaa75adc321,Wagner Taylor and Faulkner,307.51,30.75,439 Perry Cross,Martinezhaven,QLD,2639,2023-10-21 16:14:40,digital_wallet,,wallet_wagner_taylor_and_faulkner_2454ab7,1,Fraud,Glenn Knox,uortega@example.com,+61.8.5583.2650,19c2bd61-298d-4414-9dde-24caa4b82a9f
3a6c08f0-4aa6-4c5f-9662-45f5f3d99a81,Success,f409feee-6e42-469f-b195-4f45bbe65c02,Ortiz Davis and Cuevas,205.11,20.51,769 Jasmine Steps,North Patricia,SA,2621,2023-10-20 10:40:56,bank,501282,,1,Success,John Mueller,gouldbradley@example.net,6543.1399,fb054328-cbda-4921-93b6-28d58eb7ebb4
